customer_id,plan_type,contract_type,total_users,tenure_days,churn,total_payments,total_revenue,avg_payment_value,std_payment_value,payment_delay_rate,max_delay_days,avg_delay_days,dunning_count,dunning_rate,payment_cv,late_x_dunning,avg_monthly_usage_hrs,max_monthly_usage_hrs,min_monthly_usage_hrs,std_monthly_usage_hrs,avg_feature_adoption,min_feature_adoption,days_since_last_login,engagement_score,usage_drop_ratio,inactive_level,usage_consistency,risk_score,avg_nps_score,min_nps_score,latest_nps_score,nps_response_count,nps_std,nps_trend,nps_category,total_tickets,high_priority_tickets,open_tickets,billing_tickets,technical_tickets,unresolved_ratio,high_priority_ratio,billing_ticket_ratio,nps_x_adoption,usage_x_tech_tickets,plan_x_usage,tenure_x_engagement,usage_per_tenure,tickets_per_month
C-0001,starter,monthly,4,554.0,1,19,2139.02,112.58,0.0,0.21052631578947367,15,2.0,0,0.0,0.0,0.0,20.1,20.1,20.1,0.0,73.6,73.6,34,38.051428571428566,4.9748768717994274e-05,1,1.0,0.352824874384359,0.0,0.0,0.0,2.0,0.0,0.0,Detractor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.491428571426,1.0878585603463828,0.0
C-0002,starter,annual,1,368.0,1,2,2148.48,1074.24,0.0,0.5,2,1.0,0,0.0,0.0,0.0,25.6,25.6,25.6,0.0,54.8,54.8,67,32.45411764705883,3.9060974180715746e-05,1,1.0,0.3904195304870904,6.5,6.0,7.0,2.0,0.7071067811865476,0.5,Passive,17.0,4.0,2.0,6.0,3.0,0.11764705882352941,0.23529411764705882,0.35294117647058826,356.2,76.80000000000001,0.0,11943.11529411765,2.085256584306272,1.3847407005158838
C-0003,professional,annual,9,700.0,0,5,47877.600000000006,9575.52,0.0,1.0,11,6.4,3,0.6,0.0,0.6,136.1,136.1,136.1,0.0,66.0,66.0,36,81.38054054054055,7.347484588637876e-06,1,1.0,0.3680036737422943,,,,,,,Passive,3.0,2.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,,0.0,136.1,56966.37837837839,5.830358417820934,0.12851635013565615
C-0004,starter,monthly,2,816.0,1,25,1431.0,57.24,0.0,0.0,0,0.0,0,0.0,0.0,0.0,16.2,16.2,16.2,0.0,15.2,15.2,37,13.086315789473685,6.17245849022785e-05,1,1.0,0.4696308622924511,5.5,4.0,4.0,2.0,2.1213203435596424,-1.5,Detractor,13.0,6.0,2.0,3.0,4.0,0.15384615384615385,0.46153846153846156,0.23076923076923078,83.6,64.8,0.0,10678.433684210528,0.5953693495038588,0.47776552737963984
C-0005,starter,monthly,1,1341.0,0,28,1627.64,58.13,0.0,0.10714285714285714,8,0.5714285714285714,0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,63.6,63.6,11,32.10666666666667,7.99936005119184e-05,0,1.0,0.07283999680025596,4.0,3.0,3.0,2.0,1.4142135623730951,-1.0,Detractor,8.0,3.0,2.0,2.0,5.0,0.25,0.375,0.25,254.4,62.5,0.0,43055.04,0.27957951241333034,0.1789308879445314
C-0006,professional,annual,10,672.0,0,4,35764.8,8941.2,0.0,0.75,14,7.0,0,0.0,0.0,0.0,24.1,24.1,24.1,0.0,89.0,89.0,52,45.61735849056604,4.149205427161906e-05,1,1.0,0.3220207460271358,5.5,4.0,7.0,2.0,2.1213203435596424,1.5,Passive,16.0,4.0,4.0,2.0,8.0,0.25,0.25,0.125,489.5,192.8,24.1,30654.86490566038,1.0754127621597502,0.71396697902722
C-0007,professional,annual,12,1176.0,1,2,15819.6,7909.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,79.3,79.3,79.3,0.0,40.4,40.4,42,48.345116279069764,1.2610181460592784e-05,1,1.0,0.4192063050907303,9.5,9.0,9.0,2.0,0.7071067811865476,-0.5,Promoter,11.0,1.0,5.0,6.0,1.0,0.45454545454545453,0.09090909090909091,0.5454545454545454,383.8,79.3,79.3,56853.85674418604,2.0224432542718693,0.28054067839836777
C-0008,enterprise,monthly,42,414.0,1,41,89767.86,2189.46,0.0,0.024390243902439025,15,0.36585365853658536,0,0.0,0.0,0.0,265.2,265.2,265.2,0.0,27.2,27.2,13,118.38857142857142,3.770724846363649e-06,0,1.0,0.1456018853624232,0.0,0.0,0.0,1.0,0.0,0.0,Detractor,4.0,2.0,1.0,0.0,2.0,0.25,0.5,0.0,0.0,530.4,530.4,49012.86857142857,19.203475742215783,0.2896451846488052
C-0009,starter,monthly,5,1341.0,0,14,1193.64,85.26,0.0,0.07142857142857142,13,0.9285714285714286,0,0.0,0.0,0.0,4.9,4.9,4.9,0.0,72.2,72.2,24,31.640000000000004,0.00020403999183848942,0,1.0,0.055702019995919255,2.0,1.0,3.0,2.0,1.4142135623730951,1.0,Detractor,4.0,2.0,2.0,1.0,3.0,0.5,0.5,0.25,144.4,14.700000000000001,0.0,42429.240000000005,0.10959516886602551,0.0894654439722657
C-0010,enterprise,monthly,93,850.0,1,44,172914.28,3929.87,0.0,0.0,0,0.0,0,0.0,0.0,0.0,67.5,67.5,67.5,0.0,54.2,54.2,3,53.68000000000001,1.4814595339363024e-05,0,1.0,0.09160740729766968,7.0,7.0,7.0,1.0,0.0,0.0,Passive,12.0,6.0,2.0,2.0,4.0,0.16666666666666666,0.5,0.16666666666666666,379.40000000000003,270.0,135.0,45628.00000000001,2.3815124073856286,0.4233799835352229
