content,text_akhir,label
"saya sangat Puas pakai byU, tapi ada sedikit masukan buat ke depannya: Mohon agar beli kuota bisa dilakukan tanpa internet (offline), biar nggak repot cari WiFi pas kuota habis. Kualitas penggunaan, sebagai pengguna lama saya merasa kuota byu ini terasa boros padahal sudah di hemat. Loading aplikasinya kalau bisa dipercepat supaya lebih responsif. Selebihnya sudah oke, sukses terus byU!",puas pakai byu masukan depannya mohon beli kuota tanpa NEG_internet offline biar enggak NEG_repot cari wifi pas kuota habis kualitas penggunaan pengguna kuota byu boros hemat loading aplikasinya dipercepat responsif selebihnya oke sukses byu,positive
"mengecewakan, aku udah pake by.u dari 2021, awalnya lancar tapi makin kesini makin ga bagus, dulu bisa buka aplikasinya ga perlu pake kuota, sekarang repot kalo keabisan kuota mau beli lagi susah harus aktifin paket data dulu. Bahkan ketika ada kuotanya pun suka susah di bukanya, aplikasinya lama. sekarang juga promonya ga terlalu bagus, padahal aku dari dulu selalu ngasih tau temen kalo pake byu bagus sinyal bagus, promonya juga menarik.",mengecewakan pakai byu lancar kesini enggak NEG_bagus buka aplikasinya enggak NEG_pakai kuota repot kalo keabisan kuota beli susah aktifin paket data kuotanya suka susah bukanya aplikasinya promonya enggak NEG_bagus mengasih tau teman kalo pakai byu bagus sinyal bagus promonya menarik,negative
"Applikasi by.u sekarang kalo mau buka harus ada kuota, dulu tinggal buka aja mau ada kuota atau ga ada kuota. trus gimana cara beli paketnya kalau app ga bisa dibuka? pake dial kode beda penawaran sama yang di app dan tidak lengkap juga. Dan juga app nya yang dulu mudah dibuka, sekarang suka dapat pemberitahuan cek jaringan cek jaringan, bisa sampe load 3/4x baru bisa masuk itu pun masih loading. perbaiki lah dibaca ini aspirasi kami!",aplikasi byu kalo buka kuota tinggal buka kuota enggak NEG_kuota beli paketnya app enggak NEG_dibuka pakai dial kode beda penawaran app tidak NEG_lengkap app mudah dibuka suka pemberitahuan cek jaringan cek jaringan load kali masuk loading perbaiki dibaca aspirasi,negative
"Jaringannya buruk sekali dan ini bukan masalah sepele. Banyak waktu terbuang untuk menunggu loading, banyak kesempatan yang terlewat, bikin stres. Masalahnya sebenarnya ada di mana sih? haruskah ganti kartu, tau memang infrastrukturnya jelek. Semua sarannya (on/of mode pesawat, atur mode jaringan, atur poin akses) lama-lama tidak berguna, malah jadi seperti rusak.",jaringannya buruk bukan NEG_sepele terbuang menunggu loading kesempatan terlewat bikin stres haruskah ganti kartu tau infrastrukturnya jelek sarannya onof mode pesawat atur mode jaringan atur poin akses lamalama tidak NEG_berguna rusak,negative
"sangat mengecewakan..!! pakai byu hampir 4thn.. kukira jaringannya tambah bagus tapi ternyata tambah jelek..semula dikira lagi gangguan tpi setelah ditunggu selama seminggu akhir"" ini tetep ga bener juga...yg tadinya lancar buat game sekarang lag parah...udah complain CS sana sini masih tetap gaada perubahan... PARAH.!!!",mengecewakan pakai byu kukira jaringannya bagus jeleksemula gangguan ditunggu seminggu enggak NEG_jugayg lancar game lag parahudah complain cs enggak NEG_perubahan parah,negative
"mengecewakan sekali sudahlah mahal, lemot, aplikasi kadang bermasalah tidak seperti dulu makin kesini makin tidak konsisten dan berkurang, sangat disayangkan padahal ini favorit saya tapi dulu sekarang sudah tidak, lebih baik pindah bukan cuma kuotanya tapi batas hari pun ikut dipotong dan setelah habis masa hari, kouta yang tersisa hilang entah kemana aduh....",mengecewakan mahal lemot aplikasi kadang bermasalah tidak NEG_kesini tidak NEG_konsisten berkurang disayangkan favorit tidak NEG_pindah bukan NEG_kuotanya batas dipotong habis kouta tersisa hilang kemana aduh,negative
"by'u salah satu kartu untuk pengguna mahal sesuai dengan harga paketnya dan limited namun sesuai juga dengan kemampuan kecepatan jaringan nya yang dibawah standar Telkomsel yang ngakunya secepat Telkomsel, setiap bulan atau update mereka akan menghilangkan satu persatu harga murah dengan melabeli kartunya tidak akan pernah mati atau seumur hidup namun harganya bisa mengurangi hidup, bahkan anda dilarang kehabisan paket data mereka satu menit saja jika kehabisan maka aplikasi tidak bisa di buka",byu salah kartu pengguna mahal sesuai harga paketnya limited sesuai kemampuan kecepatan jaringan dibawah standar telkomsel ngakunya secepat telkomsel update menghilangkan persatu harga murah melabeli kartunya tidak NEG_mati seumur hidup harganya mengurangi hidup dilarang kehabisan paket data menit kehabisan aplikasi tidak NEG_buka,negative
"nggak ngertilh sama ini kartu, terlalu tidak stabil jaringannya, kemudian pada saat membeli kuota yang 100k jaringannya tidak berkualitas, aneh bet, padahal awal-awal penggunaan jaringan lancar, paketnya beragam, sekarang internet lemot, pilihan paket kuota terbatas, apk lambat, untuk saat ini bintang 2, saya akan menunggu peningkatan kualitas sehingga bintang itu terus bertambah",enggak NEG_ngertilh kartu tidak NEG_stabil jaringannya membeli kuota jaringannya tidak NEG_berkualitas aneh banget awalawal penggunaan jaringan lancar paketnya beragam internet lemot pilihan paket kuota terbatas apk lambat bintang menunggu peningkatan kualitas bintang bertambah,negative
"udah pake byu dr 2021, dulu bagus Tapi akhir-akhir ini kualitasnya malah menurun. Jaringan sering tidak stabil, kadang tiba-tiba jadi sangat lambat, bahkan untuk sekadar browsing pun terasa berat. Selain itu, kuota atau masa aktif sekarang tambah cuman sedikit. Di sisi lain, harga paket justru semakin tinggi, sementara provider lain mulai menawarkan layanan yang lebih baik dengan harga yang lebih terjangkau. Mending pake indosat atau xl AJA",pakai byu bagus akhirakhir kualitasnya menurun jaringan tidak NEG_stabil kadang tibatiba lambat browsing berat kuota aktif cuman sisi harga paket provider menawarkan layanan harga terjangkau mending pakai indosat xl,positive
"Sekarang by u udah ga kaya dulu lagi. apalagi aplikasi nya makin ga jelas susah untuk dibuka padahal sinyal nya full dan oke tapi muter terus. Lalu setelah di gunakan masih menunjukkan kuota sisa banyak padahal tinggal sedikit, sudah di cek pakai wifi juga aplikasi by u nya ttp muter padahal mau beli sama ngecek kuota.",lu enggak NEG_kayak aplikasi enggak NEG_susah dibuka sinyal full oke muter kuota sisa tinggal cek pakai wifi aplikasi lu muter beli mengecek kuota,negative
